"","location","lon","lat","API"
"1","Alor.Gajah , Malaysia",102.2115611,2.382211,35
"2","Alor.Setar , Malaysia",100.3671695,6.1263074,31
"3","Balik.Pulau , Malaysia",100.2349501,5.350316,32
"4","Balok.Baru.Kuantan , Malaysia",103.3680251,3.9403458,36
"5","Bandaraya.Melaka , Malaysia",102.2500868,2.189594,38
"6","Banting , Malaysia",101.5025551,2.812098,43
"7","Batu.Muda , Malaysia",101.5475409,2.7023274,40
"8","Batu.Pahat , Malaysia",102.9288341,1.849442,34
"9","Besut , Malaysia",102.5635028,5.7952741,31
"11","Bukit.Rambai , Malaysia",102.1890042,2.2530034,40
"12","Cheras , Malaysia",101.7259197,3.1068447,44
"13","Indera.Mahkota.Kuantan , Malaysia",103.296973,3.820763,30
"14","Jerantut , Malaysia",102.3620378,3.937395,27
"15","Kangar , Malaysia",100.1983709,6.440633,31
"17","Kemaman , Malaysia",103.4253518,4.231592,33
"20","Klang , Malaysia",101.44471,3.0448516,49
"21","Kluang , Malaysia",103.3356272,2.0681262,33
"22","Kota.Bharu , Malaysia",102.2379201,6.1251424,33
"24","Kota.Tinggi , Malaysia",103.899227,1.729375,30
"25","Kuala.Selangor , Malaysia",101.249762,3.340184,35
"26","Kuala.Terengganu , Malaysia",103.1412157,5.3283231,33
"28","Kulim , Malaysia",100.5553372,5.371742,32
"31","Larkin , Malaysia",103.7347091,1.4915057,39
"33","Minden , Malaysia",101.975766,4.210484,38
"35","Muar , Malaysia",102.5848717,2.0630519,24
"37","Nilai , Malaysia",101.7988711,2.802455,44
"38","Paka , Malaysia",103.4399588,4.626581,28
"39","Pasir.Gudang , Malaysia",103.9029689,1.470288,38
"40","Pegoh.Ipoh , Malaysia",101.0854776,4.5552418,42
"41","Pengerang , Malaysia",104.1111109,1.3647023,34
"42","Petaling.Jaya , Malaysia",101.5944885,3.1278871,45
"43","Port.Dickson , Malaysia",101.7962932,2.52254,37
"44","Putrajaya , Malaysia",101.696445,2.926361,42
"45","Rompin , Malaysia",103.4862113,2.7944593,32
"50","Seberang.Jaya , Malaysia",100.3989242,5.3818942,39
"51","Seberang.Perai , Malaysia",100.4139476,5.3700335,39
"52","Segamat , Malaysia",102.8207542,2.50346,36
"53","Seremban , Malaysia",101.9378239,2.725889,35
"54","Seri.Manjung , Malaysia",100.664788,4.195868,35
"55","Shah.Alam , Malaysia",101.518461,3.073281,45
"58","Sungai.Petani , Malaysia",100.4894179,5.643589,36
"59","Taiping , Malaysia",100.7416339,4.851932,40
"60","Tanah.Merah , Malaysia",102.1470772,5.808887,35
"61","Tangkak , Malaysia",102.5419882,2.271093,39
"62","Tanjung.Malim , Malaysia",101.52027,3.679539,25
"63","Tasek.Ipoh , Malaysia",101.1202978,4.6528554,39
"65","Temerloh , Malaysia",102.4163482,3.448649,35
